weight,name,tags,path
0,Margin of error for Population 15 Years and Over in the United States,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008001.json
0,Margin of error for Never married in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008002.json
0,"Margin of error for Now married, except separated in Population 15 Years and Over",marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008003.json
0,Margin of error for Divorced or separated in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008004.json
0,Margin of error for Widowed in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008005.json
0,Margin of error for Born in state of residence in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008006.json
0,Margin of error for Never married Born in state of residence Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008007.json
0,"Margin of error for Now married, except separated Born in state of residence Place of Birth in Population 15 Years and Over",marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008008.json
0,Margin of error for Divorced or separated Born in state of residence Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008009.json
0,Margin of error for Widowed Born in state of residence Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008010.json
0,Margin of error for Born in other state in the United States in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008011.json
0,Margin of error for Never married Born in other state in the United States Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008012.json
0,"Margin of error for Now married, except separated Born in other state in the United States Place of Birth in Population 15 Years and Over",marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008013.json
0,Margin of error for Divorced or separated Born in other state in the United States Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008014.json
0,Margin of error for Widowed Born in other state in the United States Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008015.json
0,Margin of error for Native; born outside the United States in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008016.json
0,Margin of error for Never married Native; born outside the United States Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008017.json
0,"Margin of error for Now married, except separated Native; born outside the United States Place of Birth in Population 15 Years and Over",marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008018.json
0,Margin of error for Divorced or separated Native; born outside the United States Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008019.json
0,Margin of error for Widowed Native; born outside the United States Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008020.json
0,Margin of error for Foreign born in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008021.json
0,Margin of error for Never married Foreign born Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008022.json
0,"Margin of error for Now married, except separated Foreign born Place of Birth in Population 15 Years and Over",marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008023.json
0,Margin of error for Divorced or separated Foreign born Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008024.json
0,Margin of error for Widowed Foreign born Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/moe/C06008025.json
