weight,name,tags,path
0,Margin of error for White Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101A/moe/B18101A001.json
0,Margin of error for Under 18 years in White Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101A/moe/B18101A002.json
0,Margin of error for With a disability old in White Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101A/moe/B18101A003.json
0,Margin of error for No disability old in White Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101A/moe/B18101A004.json
0,Margin of error for 18 to 64 years in White Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101A/moe/B18101A005.json
0,Margin of error for With a disability old in White Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101A/moe/B18101A006.json
0,Margin of error for No disability old in White Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101A/moe/B18101A007.json
0,Margin of error for 65 years and over in White Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101A/moe/B18101A008.json
0,Margin of error for With a disability old in White Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101A/moe/B18101A009.json
0,Margin of error for No disability old in White Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101A/moe/B18101A010.json
