weight,name,tags,path
0,Margin of error for Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/B12005/moe/B12005001.json
0,Margin of error for Never married in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/B12005/moe/B12005002.json
0,Margin of error for Native Never married Marital Status in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/B12005/moe/B12005003.json
0,Margin of error for Foreign born Never married Marital Status in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/B12005/moe/B12005004.json
0,Margin of error for Now married (except separated) in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/B12005/moe/B12005005.json
0,Margin of error for Native Now married (except separated) Marital Status in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/B12005/moe/B12005006.json
0,Margin of error for Foreign born Now married (except separated) Marital Status in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/B12005/moe/B12005007.json
0,Margin of error for Separated in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/B12005/moe/B12005008.json
0,Margin of error for Native Separated Marital Status in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/B12005/moe/B12005009.json
0,Margin of error for Foreign born Separated Marital Status in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/B12005/moe/B12005010.json
0,Margin of error for Widowed in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/B12005/moe/B12005011.json
0,Margin of error for Native Widowed Marital Status in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/B12005/moe/B12005012.json
0,Margin of error for Foreign born Widowed Marital Status in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/B12005/moe/B12005013.json
0,Margin of error for Divorced in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/B12005/moe/B12005014.json
0,Margin of error for Native Divorced Marital Status in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/B12005/moe/B12005015.json
0,Margin of error for Foreign born Divorced Marital Status in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/B12005/moe/B12005016.json
