weight,name,tags,path
0,Margin of error for Civilian Noninstitutionalized Population for Whom Poverty Status Is Determined,poverty|age|disability,data/columns/us/census/acs/B18130/moe/B18130001.json
0,Margin of error for Under 5 years in Civilian Noninstitutionalized Population for Whom Poverty Status Is Determined,poverty|age|disability,data/columns/us/census/acs/B18130/moe/B18130002.json
0,Margin of error for With a disability old in Civilian Noninstitutionalized Population for Whom Poverty Status Is Determined,poverty|age|disability,data/columns/us/census/acs/B18130/moe/B18130003.json
0,Margin of error for Income in the past 12-months below poverty level old With a disability Disability Status in Civilian Noninstitutionalized Population for Whom Poverty Status Is Determined,poverty|age|disability,data/columns/us/census/acs/B18130/moe/B18130004.json
0,Margin of error for Income in the past 12-months at or above poverty level old With a disability Disability Status in Civilian Noninstitutionalized Population for Whom Poverty Status Is Determined,poverty|age|disability,data/columns/us/census/acs/B18130/moe/B18130005.json
0,Margin of error for No disability old in Civilian Noninstitutionalized Population for Whom Poverty Status Is Determined,poverty|age|disability,data/columns/us/census/acs/B18130/moe/B18130006.json
0,Margin of error for Income in the past 12-months below poverty level old No disability Disability Status in Civilian Noninstitutionalized Population for Whom Poverty Status Is Determined,poverty|age|disability,data/columns/us/census/acs/B18130/moe/B18130007.json
0,Margin of error for Income in the past 12-months at or above poverty level old No disability Disability Status in Civilian Noninstitutionalized Population for Whom Poverty Status Is Determined,poverty|age|disability,data/columns/us/census/acs/B18130/moe/B18130008.json
0,Margin of error for 5 to 17 years in Civilian Noninstitutionalized Population for Whom Poverty Status Is Determined,poverty|age|disability,data/columns/us/census/acs/B18130/moe/B18130009.json
0,Margin of error for With a disability old in Civilian Noninstitutionalized Population for Whom Poverty Status Is Determined,poverty|age|disability,data/columns/us/census/acs/B18130/moe/B18130010.json
0,Margin of error for Income in the past 12-months below poverty level old With a disability Disability Status in Civilian Noninstitutionalized Population for Whom Poverty Status Is Determined,poverty|age|disability,data/columns/us/census/acs/B18130/moe/B18130011.json
0,Margin of error for Income in the past 12-months at or above poverty level old With a disability Disability Status in Civilian Noninstitutionalized Population for Whom Poverty Status Is Determined,poverty|age|disability,data/columns/us/census/acs/B18130/moe/B18130012.json
0,Margin of error for No disability old in Civilian Noninstitutionalized Population for Whom Poverty Status Is Determined,poverty|age|disability,data/columns/us/census/acs/B18130/moe/B18130013.json
0,Margin of error for Income in the past 12-months below poverty level old No disability Disability Status in Civilian Noninstitutionalized Population for Whom Poverty Status Is Determined,poverty|age|disability,data/columns/us/census/acs/B18130/moe/B18130014.json
0,Margin of error for Income in the past 12-months at or above poverty level old No disability Disability Status in Civilian Noninstitutionalized Population for Whom Poverty Status Is Determined,poverty|age|disability,data/columns/us/census/acs/B18130/moe/B18130015.json
