weight,name,tags,path
1,Margin of error for Civilian Employed Population 16 Years and Over,employment|sex,data/columns/us/census/acs/C24030/moe/C24030001.json
1,Margin of error for Male in Civilian Employed Population 16 Years and Over,employment|sex,data/columns/us/census/acs/C24030/moe/C24030002.json
1,"Margin of error for Agriculture, forestry, fishing and hunting, and mining Male in Civilian Employed Population 16 Years and Over",employment|sex,data/columns/us/census/acs/C24030/moe/C24030003.json
1,"Margin of error for Agriculture, forestry, fishing and hunting Male Agriculture, forestry, fishing and hunting, and mining Industry in Civilian Employed Population 16 Years and Over",employment|sex,data/columns/us/census/acs/C24030/moe/C24030004.json
1,"Margin of error for Mining, quarrying, and oil and gas extraction Male Agriculture, forestry, fishing and hunting, and mining Industry in Civilian Employed Population 16 Years and Over",employment|sex,data/columns/us/census/acs/C24030/moe/C24030005.json
1,Margin of error for Construction Male in Civilian Employed Population 16 Years and Over,employment|sex,data/columns/us/census/acs/C24030/moe/C24030006.json
1,Margin of error for Manufacturing Male in Civilian Employed Population 16 Years and Over,employment|sex,data/columns/us/census/acs/C24030/moe/C24030007.json
1,Margin of error for Wholesale trade Male in Civilian Employed Population 16 Years and Over,employment|sex,data/columns/us/census/acs/C24030/moe/C24030008.json
1,Margin of error for Retail trade Male in Civilian Employed Population 16 Years and Over,employment|sex,data/columns/us/census/acs/C24030/moe/C24030009.json
1,"Margin of error for Transportation and warehousing, and utilities Male in Civilian Employed Population 16 Years and Over",employment|sex,data/columns/us/census/acs/C24030/moe/C24030010.json
1,"Margin of error for Transportation and warehousing Male Transportation and warehousing, and utilities Industry in Civilian Employed Population 16 Years and Over",employment|sex,data/columns/us/census/acs/C24030/moe/C24030011.json
1,"Margin of error for Utilities Male Transportation and warehousing, and utilities Industry in Civilian Employed Population 16 Years and Over",employment|sex,data/columns/us/census/acs/C24030/moe/C24030012.json
1,Margin of error for Information Male in Civilian Employed Population 16 Years and Over,employment|sex,data/columns/us/census/acs/C24030/moe/C24030013.json
1,"Margin of error for Finance and insurance, and real estate and rental and leasing Male in Civilian Employed Population 16 Years and Over",employment|sex,data/columns/us/census/acs/C24030/moe/C24030014.json
1,"Margin of error for Finance and insurance Male Finance and insurance, and real estate and rental and leasing Industry in Civilian Employed Population 16 Years and Over",employment|sex,data/columns/us/census/acs/C24030/moe/C24030015.json
1,"Margin of error for Real estate and rental and leasing Male Finance and insurance, and real estate and rental and leasing Industry in Civilian Employed Population 16 Years and Over",employment|sex,data/columns/us/census/acs/C24030/moe/C24030016.json
1,"Margin of error for Professional, scientific, and management, and administrative and waste management services Male in Civilian Employed Population 16 Years and Over",employment|sex,data/columns/us/census/acs/C24030/moe/C24030017.json
1,"Margin of error for Professional, scientific, and technical services Male Professional, scientific, and management, and administrative and waste management services Industry in Civilian Employed Population 16 Years and Over",employment|sex,data/columns/us/census/acs/C24030/moe/C24030018.json
1,"Margin of error for Management of companies and enterprises Male Professional, scientific, and management, and administrative and waste management services Industry in Civilian Employed Population 16 Years and Over",employment|sex,data/columns/us/census/acs/C24030/moe/C24030019.json
1,"Margin of error for Administrative and support and waste management services Male Professional, scientific, and management, and administrative and waste management services Industry in Civilian Employed Population 16 Years and Over",employment|sex,data/columns/us/census/acs/C24030/moe/C24030020.json
1,"Margin of error for Educational services, and health care and social assistance Male in Civilian Employed Population 16 Years and Over",employment|sex,data/columns/us/census/acs/C24030/moe/C24030021.json
