weight,name,tags,path
0,Families With a Householder Who Is American Indian and Alaska Native Alone,race|families|age|family type|poverty|children,data/columns/us/census/acs/B17010C/B17010C001.json
0,Income in the past 12 months below poverty level in Families With a Householder Who Is American Indian and Alaska Native Alone,race|families|age|family type|poverty|children,data/columns/us/census/acs/B17010C/B17010C002.json
0,Married-couple family Income in the past 12 months below poverty level Poverty Status in the Past 12 Months of Families in Families With a Householder Who Is American Indian and Alaska Native Alone,race|families|age|family type|poverty|children,data/columns/us/census/acs/B17010C/B17010C003.json
0,With related children under 18 years Income in the past 12 months below poverty level Poverty Status in the Past 12 Months of Families Married-couple family Family Type in Families With a Householder Who Is American Indian and Alaska Native Alone,race|families|age|family type|poverty|children,data/columns/us/census/acs/B17010C/B17010C004.json
0,Under 5 years only Income in the past 12 months below poverty level Poverty Status in the Past 12 Months of Families Married-couple family Family Type With related children under 18 years Presence of Related Children Under 18 Years in Families With a Householder Who Is American Indian and Alaska Native Alone,race|families|age|family type|poverty|children,data/columns/us/census/acs/B17010C/B17010C005.json
0,Under 5 years and 5 to 17 years Income in the past 12 months below poverty level Poverty Status in the Past 12 Months of Families Married-couple family Family Type With related children under 18 years Presence of Related Children Under 18 Years in Families With a Householder Who Is American Indian and Alaska Native Alone,race|families|age|family type|poverty|children,data/columns/us/census/acs/B17010C/B17010C006.json
0,5 to 17 years only Income in the past 12 months below poverty level Poverty Status in the Past 12 Months of Families Married-couple family Family Type With related children under 18 years Presence of Related Children Under 18 Years in Families With a Householder Who Is American Indian and Alaska Native Alone,race|families|age|family type|poverty|children,data/columns/us/census/acs/B17010C/B17010C007.json
0,No related children under 18 years Income in the past 12 months below poverty level Poverty Status in the Past 12 Months of Families Married-couple family Family Type in Families With a Householder Who Is American Indian and Alaska Native Alone,race|families|age|family type|poverty|children,data/columns/us/census/acs/B17010C/B17010C008.json
0,Other family Income in the past 12 months below poverty level Poverty Status in the Past 12 Months of Families in Families With a Householder Who Is American Indian and Alaska Native Alone,race|families|age|family type|poverty|children,data/columns/us/census/acs/B17010C/B17010C009.json
0,"Male householder, no wife present Income in the past 12 months below poverty level Poverty Status in the Past 12 Months of Families Other family Family Type in Families With a Householder Who Is American Indian and Alaska Native Alone",race|families|age|family type|poverty|children,data/columns/us/census/acs/B17010C/B17010C010.json
0,"With related children under 18 years Income in the past 12 months below poverty level Poverty Status in the Past 12 Months of Families Other family Family Type Male householder, no wife present Presence of Related Children Under 18 Years in Families With a Householder Who Is American Indian and Alaska Native Alone",race|families|age|family type|poverty|children,data/columns/us/census/acs/B17010C/B17010C011.json
0,"Under 5 years only Income in the past 12 months below poverty level Poverty Status in the Past 12 Months of Families Other family Family Type Male householder, no wife present Presence of Related Children Under 18 Years With related children under 18 years Age of Related Children (American Indian and Alaska Native Alone) in Families With a Householder Who Is American Indian and Alaska Native Alone",race|families|age|family type|poverty|children,data/columns/us/census/acs/B17010C/B17010C012.json
0,"Under 5 years and 5 to 17 years Income in the past 12 months below poverty level Poverty Status in the Past 12 Months of Families Other family Family Type Male householder, no wife present Presence of Related Children Under 18 Years With related children under 18 years Age of Related Children (American Indian and Alaska Native Alone) in Families With a Householder Who Is American Indian and Alaska Native Alone",race|families|age|family type|poverty|children,data/columns/us/census/acs/B17010C/B17010C013.json
