weight,name,tags,path
0,Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125001.json
0,Owner occupied in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125002.json
0,Householder 15 to 34 years Owner occupied Tenure in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125003.json
0,"1, detached  or attached Owner occupied Tenure Householder 15 to 34 years Age of Householder in Occupied Housing Units",age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125004.json
0,2 to 4 Owner occupied Tenure Householder 15 to 34 years Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125005.json
0,5 to 19 Owner occupied Tenure Householder 15 to 34 years Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125006.json
0,20 to 49 Owner occupied Tenure Householder 15 to 34 years Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125007.json
0,50 or more Owner occupied Tenure Householder 15 to 34 years Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125008.json
0,"Mobile home, boat, RV, van, etc. Owner occupied Tenure Householder 15 to 34 years Age of Householder in Occupied Housing Units",age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125009.json
0,Householder 35 to 64 years Owner occupied Tenure in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125010.json
0,"1, detached  or attached Owner occupied Tenure Householder 35 to 64 years Age of Householder in Occupied Housing Units",age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125011.json
0,2 to 4 Owner occupied Tenure Householder 35 to 64 years Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125012.json
0,5 to 19 Owner occupied Tenure Householder 35 to 64 years Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125013.json
0,20 to 49 Owner occupied Tenure Householder 35 to 64 years Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125014.json
0,50 or more Owner occupied Tenure Householder 35 to 64 years Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125015.json
0,"Mobile home, boat, RV, van, etc. Owner occupied Tenure Householder 35 to 64 years Age of Householder in Occupied Housing Units",age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125016.json
0,Householder 65 years and over Owner occupied Tenure in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125017.json
0,"1, detached  or attached Owner occupied Tenure Householder 65 years and over Age of Householder in Occupied Housing Units",age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125018.json
0,2 to 4 Owner occupied Tenure Householder 65 years and over Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125019.json
0,5 to 19 Owner occupied Tenure Householder 65 years and over Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125020.json
0,20 to 49 Owner occupied Tenure Householder 65 years and over Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125021.json
0,50 or more Owner occupied Tenure Householder 65 years and over Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125022.json
0,"Mobile home, boat, RV, van, etc. Owner occupied Tenure Householder 65 years and over Age of Householder in Occupied Housing Units",age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125023.json
0,Renter occupied in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125024.json
0,Householder 15 to 34 years Renter occupied Tenure in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125025.json
0,"1, detached  or attached Renter occupied Tenure Householder 15 to 34 years Age of Householder in Occupied Housing Units",age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125026.json
0,2 to 4 Renter occupied Tenure Householder 15 to 34 years Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125027.json
0,5 to 19 Renter occupied Tenure Householder 15 to 34 years Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125028.json
0,20 to 49 Renter occupied Tenure Householder 15 to 34 years Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125029.json
0,50 or more Renter occupied Tenure Householder 15 to 34 years Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125030.json
0,"Mobile home, boat, RV, van, etc. Renter occupied Tenure Householder 15 to 34 years Age of Householder in Occupied Housing Units",age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125031.json
0,Householder 35 to 64 years Renter occupied Tenure in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125032.json
0,"1, detached  or attached Renter occupied Tenure Householder 35 to 64 years Age of Householder in Occupied Housing Units",age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125033.json
0,2 to 4 Renter occupied Tenure Householder 35 to 64 years Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125034.json
0,5 to 19 Renter occupied Tenure Householder 35 to 64 years Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125035.json
0,20 to 49 Renter occupied Tenure Householder 35 to 64 years Age of Householder in Occupied Housing Units,age|housing|families|physical characteristics|tenure,data/columns/us/census/acs/B25125/B25125036.json
